SYM,VOL,LAST,BUY,SELL,SCORE
CTS,1600,27.55,,27.2,-18
DIG,3000,12.6,12.3,,34
BSI,1100,32.95,,33.8,36
SSB,2600,15.8,,16.3,45
VCI,1800,23.4,,24.3,54
BSI,1400,32.95,31.7,,54
BCM,900,46.6,,48.4,55
IJC,5000,8.16,,8.5,59
SSB,2400,15.8,15.1,,63
HDG,2100,19.1,,20.1,74
DIG,3000,12.6,,13.3,79
DXG,3300,12.3,,13.1,92
BSI,1400,32.95,30.4,,110
FTS,1800,25.8,23.8,,110
CTS,1500,27.55,25.3,,116
HDG,2100,19.1,,20.7,119
TCM,1400,19.7,,22.0,166
DGC,600,45.1,,50.4,167
PC1,1900,21.6,18.9,,178
NHA,3500,9.22,,10.4,182
DXG,2700,12.3,,14.0,197
DBC,2200,17.3,,19.7,198
DGC,700,45.1,,51.5,202
HDC,2400,14.25,,16.5,225
DIG,2700,12.6,,14.6,226
PDR,2500,13.65,,16.1,256
DGC,700,45.1,,54.1,285
NHA,3000,9.22,,11.1,291
BCM,700,46.6,,56.9,315
SZC,1600,20.55,,25.7,358
SZC,1500,20.55,,26.8,434
KDH,1300,19.6,,25.8,451
NHA,2300,9.22,,13.7,694
